,treatment_id,assay_id,sample_id,area_under_curve
309,D36E+HopH1_Bacterial PAMPs,plate021,plate021_C_9,10.747090554750523
310,D36E+HopH1_Bacterial PAMPs,plate021,plate021_D_3,-0.23490351147191324
311,D36E+HopH1_Bacterial PAMPs,plate021,plate021_D_9,11.156644421947016
312,D36E+HopH1_Bacterial PAMPs,plate021,plate021_E_3,-1.1209902900486939
313,D36E+HopH1_Bacterial PAMPs,plate021,plate021_E_9,14.01147815948376
314,D36E+HopH1_Bacterial PAMPs,plate021,plate021_F_3,-1.9600283447133666
315,D36E+HopH1_Bacterial PAMPs,plate021,plate021_F_9,12.484009330383785
316,D36E+HopH1_Bacterial PAMPs,plate021,plate021_G_3,11.777562112674774
317,D36E+HopH1_Bacterial PAMPs,plate021,plate021_G_9,14.084677818422383
318,D36E+HopH1_Bacterial PAMPs,plate021,plate021_H_3,14.921149033445845
319,D36E+HopH1_Bacterial PAMPs,plate021,plate021_H_9,13.345312807218743
